i, t, s
669, 0.015170, -21222.867037
670, 0.015193, -21892.601949
671, 0.015215, -22478.077133
672, 0.015238, -22976.736312
673, 0.015261, -23386.358439
674, 0.015283, -23705.067451
675, 0.015306, -23931.340690
676, 0.015329, -24064.015949
677, 0.015351, -24102.297107
678, 0.015374, -24045.758343
679, 0.015397, -23894.346886
680, 0.015420, -23648.384305
681, 0.015442, -23308.566318
682, 0.015465, -22875.961121
683, 0.015488, -22352.006240
684, 0.015510, -21738.503913
685, 0.015533, -21037.615015
686, 0.015556, -20251.851548
687, 0.015578, -19384.067718
688, 0.015601, -18437.449640
689, 0.015624, -17415.503694
690, 0.015646, -16322.043581
691, 0.015669, -15161.176135
692, 0.015692, -13937.285926
693, 0.015714, -12655.018727
694, 0.015737, -11319.263900
695, 0.015760, -9935.135763
696, 0.015782, -8507.954030
697, 0.015805, -7043.223364
698, 0.015828, -5546.612157
699, 0.015850, -4023.930599
700, 0.015873, -2481.108115
701, 0.015896, -924.170287
702, 0.015918, 640.784692
703, 0.015941, 2207.609893
704, 0.015964, 3770.133808
705, 0.015986, 5322.184649
706, 0.016009, 6857.614737
707, 0.016032, 8370.324845
708, 0.016054, 9854.288431
709, 0.016077, 11303.575639
710, 0.016100, 12712.376993
711, 0.016122, 14075.026672
712, 0.016145, 15386.025291
713, 0.016168, 16640.062080
714, 0.016190, 17832.036374
715, 0.016213, 18957.078344
716, 0.016236, 20010.568858
717, 0.016259, 20988.158418
718, 0.016281, 21885.785071
719, 0.016304, 22699.691241
720, 0.016327, 23426.439397
721, 0.016349, 24062.926505
722, 0.016372, 24606.397192
723, 0.016395, 25054.455570
724, 0.016417, 25405.075677
725, 0.016440, 25656.610481
726, 0.016463, 25807.799405
727, 0.016485, 25857.774357
728, 0.016508, 25806.064210
729, 0.016531, 25652.597738
730, 0.016553, 25397.704971
731, 0.016576, 25042.116972
732, 0.016599, 24586.964025
733, 0.016621, 24033.772243
734, 0.016644, 23384.458599
735, 0.016667, 22641.324406
736, 0.016689, 21807.047251
737, 0.016712, 20884.671430
738, 0.016735, 19877.596900
739, 0.016757, 18789.566801
740, 0.016780, 17624.653588
741, 0.016803, 16387.243823
742, 0.016825, 15082.021691
743, 0.016848, 13713.951286
744, 0.016871, 12288.257757
745, 0.016893, 10810.407360
746, 0.016916, 9286.086518
747, 0.016939, 7721.179942
748, 0.016961, 6121.747925
749, 0.016984, 4494.002871
750, 0.017007, 2844.285172
